,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
800,0.000803546,33.34485543
801,0.00080437,33.3577825
802,0.000805696,33.35637192
803,0.000809074,33.3995629
804,0.000810205,33.42017151
805,0.000813562,33.4771131
806,0.000816075,33.5141692
807,0.000819151,33.53867619
808,0.000822074,33.50282913
809,0.000824014,33.56740415
810,0.000828221,33.50408754
811,0.000829205,33.53394128
812,0.000831863,33.39807003
813,0.000833961,33.54300751
814,0.000836093,33.67949168
815,0.000839611,33.73512933
816,0.000841967,33.79938814
817,0.000843544,33.82461641
818,0.00084728,33.81361769
819,0.000848749,33.88477109
820,0.000851706,33.89185996
821,0.000854731,33.90421679
822,0.000856194,33.91675401
823,0.000859518,33.9266775
824,0.000861469,33.94728723
825,0.000865392,33.92607022
826,0.000867921,34.01394367
827,0.000870041,34.02375142
828,0.000870874,34.07588645
829,0.000874402,34.02718018
830,0.000877437,34.07895652
831,0.00087987,34.05954003
832,0.000883137,34.06666308
833,0.000884067,34.13265368
834,0.000886975,34.16436537
835,0.00088948,34.19500881
836,0.000891653,34.18054509
837,0.000895195,34.23253883
838,0.00089821,34.19514178
839,0.000901064,34.24724852
840,0.000903173,34.24499412
841,0.000906054,34.37004316
842,0.000907629,34.30283133
843,0.000909638,34.32669505
844,0.00091427,34.37183445
845,0.000917678,34.34375821
846,0.000918657,34.34388171
847,0.000920293,34.44041254
848,0.000922707,34.4431995
849,0.000925462,34.48385803
850,0.000929278,34.44008199
851,0.000931309,34.56759465
852,0.000933536,34.58601415
853,0.000936715,34.6116575
854,0.00094031,34.53689609
855,0.000940472,34.63330609
856,0.000943153,34.67693935
857,0.000946179,34.69923939
858,0.000948769,34.67983398
859,0.0009521,34.69912764
860,0.000954462,34.79937359
861,0.000957093,34.80386078
862,0.000959207,34.78266662
863,0.000961304,34.81287365
864,0.000964461,34.88382699
865,0.000965739,34.94544814
866,0.00097014,34.91482186
867,0.000973471,34.91843523
868,0.000974397,34.9232272
869,0.000978052,34.95755749
870,0.000979766,34.93742931
871,0.000982462,34.96644383
872,0.000984066,34.99403831
873,0.000988082,34.98230933
874,0.000990074,35.04442996
875,0.000991482,35.09100594
876,0.000993705,35.08373133
877,0.000998349,35.17550611
878,0.001000382,35.1523635
879,0.001003095,35.17584966
880,0.001005672,35.1677027
881,0.001007904,35.13456499
882,0.001010862,35.22272959
883,0.00101208,35.25235191
884,0.001015547,35.31171269
885,0.001019444,35.33859933
886,0.001019537,35.33881171
887,0.00102378,35.36745904
888,0.001025726,35.40783832
889,0.001027077,35.46168811
890,0.001032484,35.42053855
891,0.001034633,35.49975049
892,0.001036445,35.5548755
893,0.00103937,35.4947694
894,0.001041713,35.53625332
895,0.001043577,35.62704766
896,0.001046052,35.69004105
897,0.001048385,35.67924938
898,0.001051573,35.71351934
899,0.001054576,35.73596284
900,0.001056159,35.73080734
901,0.001059622,35.75931247
902,0.001061625,35.80037792
903,0.001064873,35.82680537
904,0.001066612,35.7889068
905,0.001069508,35.80979192
906,0.001073028,35.81769458
907,0.001073656,35.84601261
908,0.001076817,35.86203739
909,0.001080556,35.91058514
910,0.001082893,35.9240874
911,0.001084789,35.99061051
912,0.001086561,36.0060951
913,0.001089208,35.98314577
914,0.001092619,35.94541932
915,0.001095834,35.97717902
916,0.001096863,36.10286028
917,0.001100145,36.0483596
918,0.001102926,36.05308811
919,0.001105881,36.10645669
920,0.001109152,36.15378397
921,0.001110445,36.1587741
922,0.001113876,36.14725206
923,0.001115693,36.22133032
924,0.001118174,36.25041983
925,0.001120263,36.27895844
926,0.001123528,36.29489306
927,0.001126203,36.28866342
928,0.0011284,36.31159457
929,0.001130965,36.31621248
930,0.001133532,36.37375667
931,0.001135578,36.41824621
932,0.001138828,36.38302995
