,Time[sec],Top_Inplane_Disp[mm]
788,78.4921875,-0.001102344
789,78.5917969,0.001528767
790,78.6914062,0.002910823
791,78.7910156,0.0056023
792,78.890625,-0.000287013
793,78.9902344,-0.001448787
794,79.0898437,0.00287852
795,79.1894531,0.001103782
796,79.2890625,0.009338299
797,79.3886719,-0.003601234
798,79.4882812,0.002259873
799,79.5878906,0.001091796
800,79.6875,0.003626689
801,79.7871094,-0.004889359
802,79.8867187,0.001402031
803,79.9863281,0.003402112
804,80.0859375,-0.000979666
805,80.1855469,0.00540973
806,80.2851562,-0.000450444
807,80.3847656,0.002910185
808,80.484375,0.002621801
809,80.5839844,0.001094255
810,80.6835937,-0.002517397
811,80.7832031,0.008287661
812,80.8828125,-0.000852679
813,80.9824219,0.00016171
814,81.0820312,-0.002317107
815,81.1816406,0.002249992
816,81.28125,-0.000548876
817,81.3808594,0.00155794
818,81.4804687,0.001555506
819,81.5800781,0.001039631
820,81.6796875,0.002671011
821,81.7792969,0.001508911
822,81.8789062,-0.001906301
823,81.9785156,-0.001319382
824,82.078125,0.001822467
825,82.1777344,0.000906018
826,82.2773437,-0.000314492
827,82.3769531,0.0050657
828,82.4765625,-0.001277377
829,82.5761719,0.000244153
830,82.6757812,0.005159119
831,82.7753906,-0.001690127
832,82.875,-0.001734348
833,82.9746094,-0.000378157
834,83.0742187,0.002591672
835,83.1738281,1.12e-05
836,83.2734375,0.001535627
837,83.3730469,-0.00068125
838,83.4726562,0.002523189
839,83.5722656,0.001853958
840,83.671875,0.000428156
841,83.7714844,0.00509729
842,83.8710937,-0.000424485
843,83.9707031,0.000688898
844,84.0703125,-0.001334648
845,84.1699219,-0.000318895
846,84.2695312,0.001716881
847,84.3691406,-4.16e-05
848,84.46875,0.001740965
849,84.5683594,0.004993959
850,84.6679687,0.000527822
851,84.7675781,0.002765799
852,84.8671875,-0.001315909
853,84.9667969,0.005430903
854,85.0664062,-0.001042254
855,85.1660156,-0.000340153
856,85.265625,-0.001489464
857,85.3652344,0.001682222
858,85.4648437,0.001756891
859,85.5644531,0.000944266
860,85.6640625,-0.000369891
861,85.7636719,0.004712979
862,85.8632812,0.001998148
863,85.9628906,0.006010559
864,86.0625,-0.000523208
865,86.1621094,0.001229898
866,86.2617187,-0.000293726
867,86.3613281,0.003734612
868,86.4609375,0.000224241
869,86.5605469,0.003448915
870,86.6601562,0.005267742
871,86.7597656,0.001693076
872,86.859375,0.001872819
873,86.9589844,0.001114662
874,87.0585937,-0.000156579
875,87.1582031,0.000946949
876,87.2578125,0.001214596
877,87.3574219,-0.000676142
878,87.4570312,-0.00120014
879,87.5566406,-0.000669457
880,87.65625,-0.005809715
881,87.7558594,-0.001040774
882,87.8554687,0.002954218
883,87.9550781,0.000115009
884,88.0546875,-0.003441545
885,88.1542969,0.000241819
886,88.2539062,0.000651598
887,88.3535156,0.000700939
888,88.453125,0.000203359
889,88.5527344,0.002788074
890,88.6523437,0.002334313
891,88.7519531,0.000317429
892,88.8515625,0.001112823
893,88.9511719,-0.001589444
894,89.0507812,0.008213491
895,89.1503906,0.000909887
896,89.25,0.000358387
897,89.3496094,0.002265957
898,89.4492187,-0.000299191
899,89.5488281,-0.001094829
900,89.6484375,0.000578391
901,89.7480469,0.000497703
902,89.8476562,0.00302435
903,89.9472656,0.004533325
904,90.046875,0.000165297
905,90.1464844,0.001781928
906,90.2460937,0.000665792
907,90.3457031,0.004074041
908,90.4453125,0.003571132
909,90.5449219,-0.003886174
910,90.6445312,-0.004307171
911,90.7441406,0.005113802
912,90.84375,-0.0016218
913,90.9433594,0.001592256
914,91.0429687,-0.002995451
915,91.1425781,0.002391269
916,91.2421875,-0.000677695
917,91.3417969,0.005424527
918,91.4414062,-0.001389333
919,91.5410156,0.000627854
920,91.640625,-0.001100597
921,91.7402344,0.002294925
922,91.8398437,0.000310731
923,91.9394531,0.002293634
924,92.0390625,0.000606452
925,92.1386719,0.000527823
926,92.2382812,0.007095667
927,92.3378906,0.00344713
928,92.4375,0.004394946
929,92.5371094,-0.001670453
930,92.6367187,0.005019653
931,92.7363281,4e-05
932,92.8359375,0.003168499
933,92.9355469,-0.002491334
934,93.0351562,-0.000279275
935,93.1347656,-0.001516271
936,93.234375,0.00174227
937,93.3339844,0.003833388
938,93.4335937,0.004357114
939,93.5332031,0.001542817
940,93.6328125,0.002829565
941,93.7324219,-0.000192113
942,93.8320312,0.002165919
943,93.9316406,0.003790722
944,94.03125,0.001494667
945,94.1308594,-0.000644632
946,94.2304687,0.003716186
947,94.3300781,0.005712679
948,94.4296875,0.002114785
949,94.5292969,0.00420067
950,94.6289062,-0.000456672
951,94.7285156,0.00350148
952,94.828125,0.00226226
953,94.9277344,0.002279248
954,95.0273437,-0.001641758
955,95.1269531,0.000361019
956,95.2265625,-0.000224833
957,95.3261719,0.00454813
958,95.4257812,-0.001124531
959,95.5253906,0.002422744
960,95.625,-0.002395955
961,95.7246094,0.000717488
962,95.8242187,-0.001816003
963,95.9238281,0.001051401
964,96.0234375,0.00050132
965,96.1230469,0.002729792
966,96.2226562,0.001801041
967,96.3222656,0.004026248
968,96.421875,0.002123207
969,96.5214844,0.000797902
970,96.6210937,0.000583227
